,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
88,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia
89,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia
90,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia
91,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia
92,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
93,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia
94,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
95,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia
96,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia
97,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
98,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
99,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
100,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
101,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
102,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia
103,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia
104,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
105,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
106,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
107,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
108,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
109,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
110,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
111,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
112,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
113,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
114,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
115,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
116,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
117,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
118,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
119,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
120,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
121,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
122,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
123,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
124,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
125,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
126,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
127,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
128,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
129,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
130,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
131,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
132,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
